(39694, 1, 127, -75, -72, -77, -78, -76, -76, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(39697, 4, -79, -72, -67, 127, -73, -69, -67, -72, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(39735, 7, 127, -68, -86, -69, -77, -75, 127, -71, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(39749, 3, -78, -63, 127, -74, -72, -70, -82, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
(39752, 6, -69, -85, -73, -66, -68, 127, -64, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
(39765, 1, 127, -75, -72, -77, -78, -76, -76, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(39768, 4, -79, -72, -67, 127, -73, -67, -66, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(39805, 6, 127, -76, -70, -65, 127, 127, -61, -66, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(39807, 8, 127, -64, -66, -75, 127, -69, -60, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(39820, 6, -68, 127, -74, -65, 127, 127, -65, -68, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
(39833, 1, 127, 127, -71, 127, 127, -76, 127, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(39836, 4, -79, -72, -68, 127, 127, -68, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(39852, 2, -62, 127, -69, -70, -73, 127, -68, -76, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 11)
(40262, 1, 127, -75, -79, -75, -76, -73, -88, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 11)
(40674, 1, 127, -75, -72, -77, -78, -75, -76, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(40677, 4, -79, -72, -67, 127, -73, -68, -67, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(40693, 2, -62, 127, -69, -70, -72, -88, -67, -76, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 11)
(40714, 6, 127, -76, -71, -65, -66, 127, -63, -66, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(40715, 7, 127, -68, -85, -69, -77, -75, 127, -71, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(40732, 6, -68, -84, -74, -66, -67, 127, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
(40734, 8, -64, -66, -69, -69, -66, -75, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
(40745, 1, 127, -75, -73, -77, -78, -75, -76, -65, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(40748, 4, -78, -72, -67, 127, -73, -67, -67, -72, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 26)
(40764, 2, -61, 127, -69, -70, -72, -88, -67, -76, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 11)
(40783, 5, 127, 127, -79, -64, 127, -68, -78, -66, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(40784, 6, 127, 127, -71, -65, -66, 127, -61, -66, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 16)
(40802, 6, -68, -85, 127, -66, -67, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 127, 21)
