28654, 3, -21, -16, 127, -18, -24, -25, -30, -32, 11
28655, 4, -30, -15, -12, 127, -13, -19, -30, -24, 11
28656, 5, -36, -24, -17, -17, 127, -17, -22, -25, 11
28657, 6, -25, -24, -20, -19, -11, 127, -18, -19, 11
28658, 7, -19, -22, -28, -24, -24, -15, 127, -15, 11
28659, 8, -12, -33, -34, -20, -19, -19, -16, 127, 11
28660, 1, 127, -15, -20, -33, -36, -25, -20, -12, 16
28661, 2, -15, 127, -13, -15, -21, -23, -21, -31, 16
28662, 3, -19, -15, 127, -15, -18, -22, -30, -36, 16
28663, 4, -24, -20, -13, 127, -13, -17, -22, -19, 16
28664, 5, -38, -23, -26, -16, 127, -12, -25, -19, 16
28665, 6, -26, -21, -24, -19, -13, 127, -15, -19, 16
28666, 7, -20, -36, -25, -22, -28, -16, 127, -16, 16
28667, 8, -13, -34, -29, -23, -28, -19, -15, 127, 16
28668, 1, 127, -16, -19, -26, -38, -27, -21, -13, 21
28669, 2, -14, 127, -13, -21, -21, -19, -34, -33, 21
28670, 3, -21, -15, 127, -17, -27, -25, -27, -31, 21
28671, 4, -28, -21, -12, 127, -13, -17, -20, -21, 21
28672, 5, -30, -20, -24, -14, 127, -14, -29, -28, 21
28673, 6, -32, -21, -26, -21, -13, 127, -16, -19, 21
28674, 7, -19, -30, -32, -30, -20, -19, 127, -14, 21
28675, 8, -13, -41, -34, -20, -27, -19, -15, 127, 21
28676, 1, 127, -15, -19, -30, -30, -32, -21, -14, 26
28677, 2, -15, 127, -13, -22, -18, -19, -29, -40, 26
28678, 3, -21, -19, 127, -16, -25, -28, -34, -36, 26
28679, 4, -25, -16, -13, 127, -11, -19, -28, -18, 26
28680, 5, -31, -23, -23, -15, 127, -14, -21, -28, 26
28681, 6, -25, -28, -23, -22, -17, 127, -20, -19, 26
28682, 7, -20, -31, -28, -30, -22, -17, 127, -15, 26
28683, 8, -15, -33, -29, -27, -24, -19, -15, 127, 26
28684, 1, 127, -17, -20, -28, -31, -25, -21, -16, 11
28685, 2, -13, 127, -16, -17, -21, -27, -30, -32, 11
28686, 3, -21, -17, 127, -17, -24, -25, -30, -31, 11
28687, 4, -29, -15, -13, 127, -13, -20, -29, -25, 11
28688, 5, -36, -23, -17, -16, 127, -17, -23, -25, 11
28689, 6, -25, -26, -20, -19, -11, 127, -18, -19, 11
28690, 7, -19, -22, -28, -24, -24, -15, 127, -15, 11
28691, 8, -12, -34, -34, -20, -19, -18, -17, 127, 11
28692, 1, 127, -15, -20, -31, -36, -26, -20, -12, 16
28693, 2, -14, 127, -13, -15, -21, -24, -21, -32, 16
28694, 3, -20, -16, 127, -16, -18, -21, -31, -36, 16
28695, 4, -24, -20, -13, 127, -13, -18, -22, -19, 16
28696, 5, -39, -21, -25, -16, 127, -13, -25, -19, 16
28697, 6, -26, -22, -24, -19, -13, 127, -16, -18, 16
28698, 7, -19, -36, -24, -21, -29, -15, 127, -16, 16
28699, 8, -13, -34, -30, -23, -29, -18, -15, 127, 16
28700, 1, 127, -16, -19, -26, -38, -27, -21, -14, 21
28701, 2, -13, 127, -13, -20, -19, -20, -34, -32, 21
28702, 3, -21, -16, 127, -17, -26, -26, -26, -32, 21
