(37403, 4, -57, -65, -67, 127, 11)
(37404, 1, 127, -74, -74, -66, 16)
(37405, 2, -69, 127, -75, -63, 16)
(37406, 3, -72, -80, 127, -61, 16)
(37407, 4, -55, -72, -66, 127, 16)
(37408, 1, 127, -73, -75, -67, 21)
(37411, 4, -56, -73, -67, 127, 21)
(37412, 1, 127, -70, -75, -64, 26)
(37414, 3, -71, -74, 127, -67, 26)
(37415, 4, -57, -78, -75, 127, 26)
(37416, 1, 127, -72, -75, -64, 11)
(37417, 2, -67, 127, -76, -72, 11)
(37418, 3, -67, -81, 127, -67, 11)
(37419, 4, -57, -65, -67, 127, 11)
(37420, 1, 127, -74, -74, -66, 16)
(37421, 2, -69, 127, -75, -63, 16)
(37422, 3, -72, -80, 127, -61, 16)
(37423, 4, -55, -72, -66, 127, 16)
(37424, 1, 127, -72, -75, -67, 21)
(37425, 2, -72, 127, -72, -66, 21)
(37426, 3, -72, -79, 127, -65, 21)
(37427, 4, -56, -73, -67, 127, 21)
(37428, 1, 127, -70, -75, -64, 26)
(37430, 3, -71, -74, 127, -67, 26)
(37431, 4, -57, -78, -75, 127, 26)
(37432, 1, 127, -72, -75, -64, 11)
(37433, 2, -67, 127, -76, -72, 11)
(37434, 3, -67, -81, 127, -67, 11)
(37435, 4, -57, -65, -67, 127, 11)
(37436, 1, 127, -74, -74, -66, 16)
(37437, 2, -69, 127, -75, -63, 16)
(37438, 3, -72, -80, 127, -61, 16)
(37439, 4, -55, -72, -66, 127, 16)
(37440, 1, 127, -73, -75, -67, 21)
(37441, 2, -72, 127, -72, -66, 21)
(37442, 3, -72, -78, 127, -65, 21)
(37443, 4, -56, -74, -66, 127, 21)
(37444, 1, 127, -70, -75, -64, 26)
(37446, 3, -71, -73, 127, -68, 26)
(37447, 4, -57, -78, -75, 127, 26)
(37448, 1, 127, -72, -75, -64, 11)
(37449, 2, -67, 127, -76, -72, 11)
(37450, 3, -67, -81, 127, -68, 11)
(37451, 4, -57, -65, -67, 127, 11)
(37452, 1, 127, -74, -74, -66, 16)
(37453, 2, -69, 127, -75, -63, 16)
(37454, 3, -72, -80, 127, -61, 16)
(37455, 4, -55, -72, -66, 127, 16)
(37456, 1, 127, -72, -75, -67, 21)
(37457, 2, -72, 127, -72, -66, 21)
(37458, 3, -72, -78, 127, -65, 21)
(37459, 4, -56, -74, -67, 127, 21)
(37460, 1, 127, -70, -75, -64, 26)
(37462, 3, -71, -73, 127, -68, 26)
(37463, 4, -57, -78, -75, 127, 26)
(37464, 1, 127, -72, -75, -64, 11)
(37465, 2, -68, 127, -76, -72, 11)
(37466, 3, -67, -81, 127, -67, 11)
(37467, 4, -57, -64, -67, 127, 11)
(37468, 1, 127, -74, -74, -66, 16)
(37470, 3, -72, -80, 127, -61, 16)
(37471, 4, -55, -73, -66, 127, 16)
(37472, 1, 127, -72, -75, -67, 21)
(37473, 2, -72, 127, -72, -66, 21)
