9486, 3, -22, -16, 127, -16, -26, -25, -28, -30, 11
9487, 4, -26, -14, -13, 127, -13, -19, -29, -24, 11
9488, 5, -31, -22, -18, -16, 127, -17, -24, -26, 11
9489, 6, -26, -26, -21, -19, -11, 127, -17, -18, 11
9490, 7, -21, -18, -22, -22, -21, -15, 127, -14, 11
9491, 8, -13, -19, -22, -22, -18, -18, -16, 127, 11
9492, 1, 127, -19, -21, -28, -31, -27, -22, -13, 16
9493, 2, -18, 127, -13, -14, -19, -25, -17, -18, 16
9494, 3, -24, -15, 127, -16, -19, -22, -25, -24, 16
9495, 4, -21, -19, -13, 127, -13, -17, -20, -20, 16
9496, 5, -40, -20, -27, -17, 127, -12, -23, -19, 16
9497, 6, -24, -21, -24, -18, -14, 127, -15, -18, 16
9498, 7, -19, -22, -24, -19, -25, -15, 127, -15, 16
9499, 8, -15, -38, -23, -28, -25, -19, -14, 127, 16
9500, 1, 127, -19, -22, -24, -40, -25, -20, -15, 21
9501, 2, -17, 127, -12, -19, -18, -19, -21, -36, 21
9502, 3, -21, -16, 127, -17, -28, -26, -26, -24, 21
9503, 4, -21, -21, -12, 127, -13, -16, -17, -26, 21
9504, 5, -31, -21, -24, -15, 127, -15, -27, -27, 21
9505, 6, -44, -19, -28, -22, -14, 127, -15, -19, 21
9506, 7, -18, -24, -29, -22, -19, -19, 127, -14, 21
9507, 8, -16, -31, -24, -22, -26, -18, -15, 127, 21
9508, 1, 127, -19, -19, -24, -31, -44, -18, -17, 26
9509, 2, -19, 127, -13, -22, -19, -17, -23, -30, 26
9510, 3, -23, -19, 127, -16, -25, -30, -32, -26, 26
9511, 4, -19, -15, -13, 127, -12, -20, -21, -21, 26
9512, 5, -34, -23, -24, -15, 127, -15, -21, -27, 26
9513, 6, -33, -28, -23, -21, -16, 127, -20, -19, 26
9514, 7, -21, -32, -26, -31, -24, -16, 127, -15, 26
9515, 8, -16, -27, -28, -26, -24, -18, -14, 127, 26
9516, 1, 127, -20, -21, -21, -34, -33, -23, -17, 11
9517, 2, -18, 127, -16, -17, -21, -27, -32, -26, 11
9518, 3, -22, -16, 127, -16, -26, -25, -28, -30, 11
9519, 4, -26, -14, -13, 127, -13, -19, -29, -24, 11
9520, 5, -31, -22, -18, -16, 127, -17, -24, -26, 11
