23393, 6, -32, -18, -34, -22, -14, 127, -15, -19, 21
23394, 7, -19, -23, -36, -23, -19, -20, 127, -15, 21
23395, 8, -15, -21, -24, -21, -28, -19, -15, 127, 21
23396, 1, 127, -16, -21, -26, -32, -32, -20, -15, 26
23397, 2, -18, 127, -13, -22, -21, -17, -22, -20, 26
23398, 3, -24, -20, 127, -16, -25, -36, -39, -27, 26
23399, 4, -21, -16, -13, 127, -11, -19, -21, -19, 26
23400, 5, -29, -23, -25, -15, 127, -15, -20, -29, 26
23401, 6, -29, -29, -24, -21, -17, 127, -21, -19, 26
23402, 7, -25, -33, -28, -30, -22, -16, 127, -15, 26
23403, 8, -19, -19, -26, -22, -24, -19, -15, 127, 26
23404, 1, 127, -19, -22, -24, -29, -29, -26, -20, 11
23405, 2, -19, 127, -17, -17, -21, -28, -33, -19, 11
23406, 3, -22, -17, 127, -16, -27, -26, -31, -28, 11
23407, 4, -24, -15, -13, 127, -13, -19, -29, -21, 11
23408, 5, -32, -21, -18, -17, 127, -17, -23, -24, 11
23409, 6, -21, -24, -19, -19, -10, 127, -17, -20, 11
23410, 7, -20, -17, -21, -21, -21, -15, 127, -15, 11
23411, 8, -12, -19, -22, -21, -19, -17, -18, 127, 11
23412, 1, 127, -21, -21, -26, -31, -21, -21, -12, 16
23413, 2, -19, 127, -13, -15, -19, -22, -16, -18, 16
23414, 3, -23, -16, 127, -16, -19, -21, -23, -24, 16
23415, 4, -19, -20, -13, 127, -14, -16, -19, -19, 16
23416, 5, -29, -20, -28, -16, 127, -12, -22, -19, 16
23417, 6, -22, -20, -24, -19, -13, 127, -15, -17, 16
23418, 7, -19, -23, -24, -19, -25, -15, 127, -17, 16
23419, 8, -15, -19, -23, -24, -23, -19, -15, 127, 16
23420, 1, 127, -21, -21, -22, -29, -22, -19, -15, 21
23421, 2, -15, 127, -13, -20, -18, -19, -22, -17, 21
23422, 3, -22, -16, 127, -17, -29, -25, -27, -25, 21
23423, 4, -24, -21, -13, 127, -13, -17, -18, -22, 21
23424, 5, -33, -23, -24, -13, 127, -15, -27, -24, 21
23425, 6, -32, -18, -34, -22, -14, 127, -15, -19, 21
23426, 7, -19, -23, -36, -23, -19, -20, 127, -15, 21
23427, 8, -15, -21, -25, -21, -28, -19, -15, 127, 21
23428, 1, 127, -16, -21, -26, -32, -32, -20, -15, 26
23429, 2, -18, 127, -13, -22, -21, -17, -22, -20, 26
23430, 3, -24, -20, 127, -16, -25, -35, -39, -27, 26
23431, 4, -21, -16, -13, 127, -11, -19, -21, -19, 26
23432, 5, -29, -22, -26, -15, 127, -15, -20, -29, 26
23433, 6, -29, -28, -24, -21, -17, 127, -21, -19, 26
23434, 7, -25, -34, -28, -30, -22, -16, 127, -15, 26
23435, 8, -19, -19, -26, -22, -24, -19, -15, 127, 26
23436, 1, 127, -19, -22, -24, -29, -29, -26, -20, 11
23437, 2, -19, 127, -17, -17, -21, -28, -33, -19, 11
23438, 3, -22, -17, 127, -17, -27, -26, -31, -28, 11
23439, 4, -24, -15, -13, 127, -13, -19, -29, -21, 11
23440, 5, -32, -21, -18, -17, 127, -17, -23, -24, 11
23441, 6, -21, -24, -19, -19, -10, 127, -17, -20, 11
23442, 7, -20, -17, -21, -21, -21, -15, 127, -15, 11
23443, 8, -12, -19, -22, -21, -19, -17, -18, 127, 11
23444, 1, 127, -21, -21, -26, -31, -21, -21, -12, 16
23445, 2, -19, 127, -13, -15, -19, -22, -16, -18, 16
23446, 3, -23, -16, 127, -16, -19, -21, -23, -24, 16
23447, 4, -19, -20, -13, 127, -14, -16, -19, -19, 16
23448, 5, -29, -20, -28, -16, 127, -12, -22, -19, 16
23449, 6, -22, -20, -24, -19, -13, 127, -15, -17, 16
23450, 7, -19, -23, -24, -19, -25, -15, 127, -17, 16
23451, 8, -15, -19, -23, -24, -23, -19, -15, 127, 16
23452, 1, 127, -21, -21, -22, -29, -22, -19, -15, 21
23453, 2, -15, 127, -13, -20, -18, -19, -22, -17, 21
23454, 3, -22, -16, 127, -17, -29, -25, -27, -25, 21
23455, 4, -24, -21, -13, 127, -13, -17, -18, -22, 21
